Intel,2021,2021-07,arch,101
Samsung Electronics,2017,2017-11,drivers,223
Huawei Technologies,2017,2017-03,fs,38
Linaro,2013,2013-09,tools,41
Linaro,2013,2013-09,...,143
Intel,2014,2014-05,drivers,967
Intel,2016,2016-10,drivers,1955
Intel,2015,2015-05,include,178
Red Hat,2020,2020-06,drivers,690
Intel,2021,2021-05,Documentation,14
Intel,2021,2021-05,arch,117
Technical University of Berlin,2017,2017-09,arch,5
Arnd Bergmann,2020,2020-01,net,3
amd.com,2019,2019-07,drivers,1147
Red Hat,2016,2016-03,mm,65
amd.com,2021,2021-11,drivers,835
amd.com,2021,2021-11,include,38
Intel,2015,2015-01,drivers,1063
Linaro,2016,2016-07,drivers,565
Oracle,2018,2018-03,arch,57
Intel,2017,2017-12,drivers,829
SUSE Linux,2013,2013-12,drivers,88
Texas Instruments,2011,2011-10,drivers,192
Texas Instruments,2011,2011-10,include,20
Alibaba,2018,2018-08,kernel,7
amd.com,2019,2019-08,drivers,786
Oracle,2016,2016-07,Documentation,5
Samsung Electronics,2019,2019-02,sound,41
The Linux Kernel Archives,2022,2022-03,block,14
Intel,2011,2011-12,include,124
amd.com,2013,2013-03,drivers,85
Intel,2016,2016-10,net,149
Texas Instruments,2020,2020-04,fs,12
SUSE Linux,2008,2008-01,fs,20
The Linux Kernel Archives,2019,2019-09,drivers,170
The Linux Kernel Archives,2021,2021-01,Documentation,74
Samsung Electronics,2019,2019-08,drivers,35
amd.com,2022,2022-02,drivers,881
Nick Piggin,2009,2009-04,fs,23
Linaro,2021,2021-10,arch,52
SUSE Linux,2013,2013-05,sound,96
amd.com,2014,2014-07,drivers,413
Linux Foundation,2009,2009-03,drivers,146
Red Hat,2015,2015-06,arch,106
Broadcom,2019,2019-07,drivers,72
amd.com,2018,2018-09,drivers,693
Red Hat,2021,2021-02,fs,103
Linaro,2012,2012-05,drivers,252
Linaro,2012,2012-05,include,59
SUSE Linux,2008,2008-09,arch,489
Texas Instruments,2016,2016-06,drivers,260
Intel,2014,2014-10,Documentation,12
amd.com,2018,2018-05,drivers,847
Red Hat,2018,2018-07,block,48
The Linux Kernel Archives,2021,2021-06,...,98
The Linux Kernel Archives,2021,2021-06,drivers,329
Intel,2017,2017-03,sound,58
Red Hat,2009,2009-06,Documentation,94
Huawei Technologies,2021,2021-04,drivers,422
Red Hat,2014,2014-01,arch,190
David M. Loft,2011,2011-07,include,35
David M. Loft,2011,2011-07,net,86
Red Hat,2014,2014-08,drivers,950
The Linux Kernel Archives,2018,2018-04,Documentation,22
The Linux Kernel Archives,2018,2018-04,drivers,147
Intel,2016,2016-02,drivers,2453
SUSE Linux,2010,2010-10,drivers,1143
The Linux Kernel Archives,2018,2018-11,arch,423
The Linux Kernel Archives,2012,2012-07,sound,50
amd.com,2020,2020-11,drivers,522
Intel,2014,2014-08,drivers,773
Linaro,2019,2019-04,drivers,526
David M. Loft,2007,2007-03,drivers,26
Intel,2005,2005-10,drivers,486
amd.com,2022,2022-04,drivers,759
Intel,2009,2009-08,net,30
Intel,2018,2018-03,include,128
Intel,2018,2018-03,sound,22
Red Hat,2015,2015-03,drivers,370
Intel,2018,2018-10,drivers,1347
Linaro,2020,2020-11,drivers,1012
Nick Piggin,2007,2007-12,drivers,472
Broadcom,2013,2013-02,...,37
Red Hat,2021,2021-01,drivers,274
Intel,2017,2017-10,drivers,1108
Huawei Technologies,2017,2017-08,arch,32
Huawei Technologies,2013,2013-11,drivers,37
Samsung Electronics,2016,2016-05,drivers,141
Red Hat,2016,2016-09,fs,442
Intel,2008,2008-04,arch,184
Intel,2008,2008-04,include,272
The Linux Kernel Archives,2020,2020-01,scripts,13
amd.com,2012,2012-07,arch,25
amd.com,2012,2012-07,include,7
amd.com,2021,2021-11,Documentation,30
Intel,2017,2017-04,arch,173
Red Hat,2020,2020-09,fs,191
The Linux Kernel Archives,2014,2014-10,fs,80
Intel,2008,2008-08,crypto,7
Intel,2022,2022-01,arch,185
Red Hat,2017,2017-11,include,79
Red Hat,2017,2017-11,net,181
Linaro,2020,2020-01,drivers,354
Huawei Technologies,2012,2012-05,fs,22
amd.com,2017,2017-11,drivers,809
Arnd Bergmann,2015,2015-11,drivers,218
amd.com,2011,2011-01,arch,25
Red Hat,2011,2011-06,fs,312
Red Hat,2022,2022-07,fs,258
Oracle,2020,2020-06,net,41
amd.com,2015,2015-05,drivers,341
Linaro,2013,2013-11,drivers,140
The Linux Kernel Archives,2022,2022-05,scripts,82
Intel,2020,2020-02,Documentation,24
Intel,2020,2020-02,include,106
Intel,2020,2020-02,kernel,28
Intel,2012,2012-07,fs,70
Samsung Electronics,2014,2014-04,drivers,268
Intel,2017,2017-04,drivers,1468
Linaro,2020,2020-11,arch,68
The Linux Kernel Archives,2014,2014-11,Documentation,8
The Linux Kernel Archives,2014,2014-11,include,64
Red Hat,2012,2012-10,include,1109
Mellanox Technologies,2017,2017-11,drivers,241
SUSE Linux,2005,2005-03,arch,2
Texas Instruments,2008,2008-12,arch,7
Broadcom,2011,2011-05,...,14
Huawei Technologies,2021,2021-04,arch,64
Huawei Technologies,2021,2021-04,include,24
Huawei Technologies,2021,2021-04,init,1
Huawei Technologies,2021,2021-04,mm,4
Samsung Electronics,2010,2010-11,arch,79
Intel,2011,2011-03,include,55
Intel,2011,2011-03,mm,36
Oracle,2017,2017-05,drivers,113
Mellanox Technologies,2019,2019-08,include,66
Intel,2019,2019-07,drivers,1293
Intel,2019,2019-07,...,34
Intel,2019,2019-09,drivers,663
Mellanox Technologies,2019,2019-02,drivers,415
Intel,2014,2014-04,drivers,1210
SUSE Linux,2008,2008-08,Documentation,19
SUSE Linux,2006,2006-01,block,13
SUSE Linux,2006,2006-01,fs,26
Intel,2005,2005-11,drivers,568
Red Hat,2012,2012-02,drivers,404
Samsung Electronics,2018,2018-04,...,33
SUSE Linux,2022,2022-06,arch,5
Intel,2012,2012-08,sound,23
Samsung Electronics,2017,2017-06,Documentation,17
Nick Piggin,2011,2011-12,fs,105
SUSE Linux,2014,2014-12,arch,52
Linaro,2013,2013-01,drivers,260
Intel,2017,2017-10,tools,35
Oracle,2018,2018-10,sound,5
SUSE Linux,2007,2007-02,fs,18
SUSE Linux,2007,2007-02,include,44
The Linux Kernel Archives,2016,2016-05,fs,132
Intel,2012,2012-04,drivers,863
Intel,2020,2020-12,fs,15
Linaro,2021,2021-02,Documentation,12
Linaro,2021,2021-02,mm,42
Nick Piggin,2006,2006-05,drivers,341
amd.com,2014,2014-10,...,3
amd.com,2014,2014-10,drivers,1565
Sony,2015,2015-08,drivers,64
Mellanox Technologies,2015,2015-05,...,37
Mellanox Technologies,2015,2015-05,drivers,227
Linaro,2021,2021-12,drivers,160
Red Hat,2006,2006-03,Documentation,10
Red Hat,2006,2006-03,include,132
Red Hat,2006,2006-03,kernel,32
The Linux Kernel Archives,2018,2018-05,...,46
Red Hat,2007,2007-04,fs,182
The Linux Kernel Archives,2021,2021-03,arch,462
David M. Loft,2006,2006-02,arch,320
David M. Loft,2006,2006-02,include,90
The Linux Kernel Archives,2010,2010-09,drivers,209
Sony,2020,2020-04,lib,1
Texas Instruments,2011,2011-12,drivers,285
SUSE Linux,2009,2009-04,drivers,350
Oracle,2020,2020-05,drivers,120
SUSE Linux,2020,2020-06,include,25
Intel,2015,2015-11,MAINTAINERS,22
Intel,2015,2015-11,drivers,1862
Intel,2021,2021-08,arch,119
Broadcom,2013,2013-09,drivers,100
Intel,2014,2014-11,Documentation,33
Intel,2014,2014-11,drivers,1391
Oracle,2017,2017-09,net,30
Mellanox Technologies,2019,2019-03,drivers,247
Red Hat,2017,2017-04,drivers,384
Intel,2013,2013-07,drivers,887
Intel,2013,2013-07,include,90
Linaro,2022,2022-08,drivers,195
Texas Instruments,2020,2020-12,Documentation,12
amd.com,2008,2008-11,arch,42
Red Hat,2017,2017-10,drivers,283
Broadcom,2020,2020-03,drivers,156
Intel,2022,2022-06,net,219
Intel,2022,2022-05,arch,209
Linaro,2013,2013-09,arch,332
Linaro,2013,2013-09,drivers,645
Nick Piggin,2022,2022-09,mm,86
Red Hat,2010,2010-06,fs,255
Red Hat,2010,2010-06,include,50
Intel,2015,2015-08,drivers,1144
Nick Piggin,2005,2005-06,include,31
Mellanox Technologies,2012,2012-01,fs,26
The Linux Kernel Archives,2022,2022-08,arch,158
Oracle,2018,2018-08,drivers,187
SUSE Linux,2006,2006-03,drivers,195
SUSE Linux,2006,2006-03,include,221
amd.com,2017,2017-10,drivers,686
Broadcom,2008,2008-05,drivers,38
Linaro,2019,2019-08,drivers,686
Red Hat,2012,2012-05,drivers,494
Intel,2017,2017-11,drivers,938
Linaro,2021,2021-03,drivers,793
Huawei Technologies,2019,2019-05,drivers,173
amd.com,2009,2009-08,drivers,243
Red Hat,2017,2017-01,fs,174
Intel,2007,2007-03,include,55
Intel,2007,2007-03,net,85
Linaro,2020,2020-09,sound,25
The Linux Kernel Archives,2020,2020-05,net,22
Intel,2010,2010-11,fs,58
Intel,2010,2010-01,net,62
Red Hat,2016,2016-07,fs,265
Huawei Technologies,2009,2009-12,net,85
Intel,2009,2009-07,drivers,658
Intel,2017,2017-12,arch,207
Red Hat,2015,2015-06,fs,236
SUSE Linux,2019,2019-05,drivers,357
Red Hat,2012,2012-07,fs,131
Intel,2012,2012-03,net,175
C-SKY Microsystems,2019,2019-09,arch,7
Samsung Electronics,2018,2018-02,drivers,313
Oracle,2016,2016-01,Documentation,2
Oracle,2016,2016-01,arch,119
Oracle,2016,2016-01,drivers,73
The Linux Kernel Archives,2019,2019-11,arch,190
SUSE Linux,2011,2011-05,include,42
Red Hat,2012,2012-03,drivers,801
Intel,2021,2021-07,drivers,971
Huawei Technologies,2005,2005-07,arch,15
Huawei Technologies,2016,2016-10,drivers,95
Texas Instruments,2010,2010-05,drivers,107
Red Hat,2021,2021-06,include,57
Red Hat,2021,2021-06,net,143
Huawei Technologies,2020,2020-07,drivers,260
SUSE Linux,2011,2011-05,drivers,550
Linaro,2010,2010-11,drivers,146
